win,lose,probability
Los Angeles Clippers,Phoenix Suns,0.8937934286397518
Toronto Raptors,Denver Nuggets,0.8078536901259499
Cleveland Cavaliers,Houston Rockets,0.7818982871098965
Detroit Pistons,New York Knicks,0.6940844904450941
Indiana Pacers,Los Angeles Lakers,0.8931297416058491
Miami Heat,Sacramento Kings,0.6915836168591806
Memphis Grizzlies,Minnesota Timberwolves,0.6933234481098225
Milwaukee Bucks,New Orleans Pelicans,0.5296362306602712
Orlando Magic,Philadelphia 76ers,0.8572266297567201
Golden State Warriors,Portland Trail Blazers,0.8441343806000802
San Antonio Spurs,Utah Jazz,0.8144471916846859
Atlanta Hawks,Los Angeles Lakers,0.9216945812278777
Boston Celtics,Chicago Bulls,0.5815212080329707
Detroit Pistons,Brooklyn Nets,0.8104173751720302
Charlotte Hornets,Philadelphia 76ers,0.9634359553413574
Oklahoma City Thunder,Los Angeles Clippers,0.5895215760331564
Memphis Grizzlies,New Orleans Pelicans,0.6163107916793863
Houston Rockets,New York Knicks,0.6474835594047401
Portland Trail Blazers,Phoenix Suns,0.8463903969894363
Dallas Mavericks,Utah Jazz,0.5109587255222223
Toronto Raptors,Washington Wizards,0.7343098201148339
Cleveland Cavaliers,Boston Celtics,0.667110632045731
Golden State Warriors,Oklahoma City Thunder,0.7017601140531602
Indiana Pacers,Milwaukee Bucks,0.7070063999018776
Denver Nuggets,Minnesota Timberwolves,0.5071790524334896
Orlando Magic,Sacramento Kings,0.5434300022851138
Charlotte Hornets,Brooklyn Nets,0.8533833475247693
Chicago Bulls,New York Knicks,0.6162762353773628
Portland Trail Blazers,Dallas Mavericks,0.6621368533007497
Golden State Warriors,Los Angeles Lakers,0.9779792177412382
Los Angeles Clippers,Memphis Grizzlies,0.7429953763792756
New Orleans Pelicans,Phoenix Suns,0.6807185865731546
Toronto Raptors,Miami Heat,0.5228615872645747
San Antonio Spurs,Utah Jazz,0.8551492364967946
Atlanta Hawks,Washington Wizards,0.5510899278924264
Atlanta Hawks,Houston Rockets,0.6890635811517803
Detroit Pistons,Denver Nuggets,0.7251926708348436
Indiana Pacers,Chicago Bulls,0.5026013112694755
Sacramento Kings,Milwaukee Bucks,0.5491840447595104
Oklahoma City Thunder,Minnesota Timberwolves,0.8716367070115787
Washington Wizards,Orlando Magic,0.5698600162966068
Cleveland Cavaliers,Philadelphia 76ers,0.965079194584934
San Antonio Spurs,Los Angeles Clippers,0.6725157013471229
Boston Celtics,Denver Nuggets,0.7879352769037555
Dallas Mavericks,Milwaukee Bucks,0.6095983658312819
Phoenix Suns,Los Angeles Lakers,0.6313263749895077
Portland Trail Blazers,Memphis Grizzlies,0.7072655179635532
Utah Jazz,New York Knicks,0.6762391820770659
Toronto Raptors,Sacramento Kings,0.7769234228826966
Chicago Bulls,Orlando Magic,0.582119464778606
Charlotte Hornets,Indiana Pacers,0.5839702433981708
Golden State Warriors,New Orleans Pelicans,0.9375915091099032
Los Angeles Clippers,Detroit Pistons,0.6629652898028813
Oklahoma City Thunder,Miami Heat,0.6216719883676276
Utah Jazz,Philadelphia 76ers,0.8973627291275255
Washington Wizards,Houston Rockets,0.5548829862226144
Minnesota Timberwolves,Brooklyn Nets,0.6614641205964891
Cleveland Cavaliers,Atlanta Hawks,0.7008329954810818
Dallas Mavericks,Los Angeles Lakers,0.8817136675473336
Memphis Grizzlies,Denver Nuggets,0.5907771219559405
Portland Trail Blazers,Phoenix Suns,0.8272516585522619
Sacramento Kings,New Orleans Pelicans,0.5967919658522772
Atlanta Hawks,Chicago Bulls,0.5873172868012281
Charlotte Hornets,Utah Jazz,0.6322112813482117
Golden State Warriors,Dallas Mavericks,0.8672572033225476
Indiana Pacers,Philadelphia 76ers,0.9549740106398241
Los Angeles Clippers,Portland Trail Blazers,0.5339160724383264
New York Knicks,Brooklyn Nets,0.6665221233916385
Oklahoma City Thunder,Toronto Raptors,0.5158947125197678
Orlando Magic,Minnesota Timberwolves,0.6074723248487426
Detroit Pistons,Phoenix Suns,0.7624035935826365
San Antonio Spurs,Houston Rockets,0.8330940044433852
Boston Celtics,Washington Wizards,0.5893302576540539
Golden State Warriors,Denver Nuggets,0.8978015651627534
Miami Heat,Chicago Bulls,0.503081780204976
Milwaukee Bucks,New Orleans Pelicans,0.5243961961807488
Sacramento Kings,Los Angeles Lakers,0.8044879691659386
Boston Celtics,New York Knicks,0.7615946403385138
Toronto Raptors,Charlotte Hornets,0.6380151181444478
Oklahoma City Thunder,Los Angeles Clippers,0.6016848065749167
Utah Jazz,Orlando Magic,0.5760878330569217
Indiana Pacers,Philadelphia 76ers,0.9145796966041365
Portland Trail Blazers,Sacramento Kings,0.6531873333521007
San Antonio Spurs,Detroit Pistons,0.808408920027667
Cleveland Cavaliers,Washington Wizards,0.742498240647216
Atlanta Hawks,Philadelphia 76ers,0.9676082978357338
Washington Wizards,Chicago Bulls,0.5047201942716786
Detroit Pistons,Denver Nuggets,0.5916991722991908
San Antonio Spurs,Houston Rockets,0.841421639801061
Boston Celtics,Indiana Pacers,0.5320443088023674
Miami Heat,Utah Jazz,0.5809417497977382
Memphis Grizzlies,Milwaukee Bucks,0.6891314975842195
Los Angeles Clippers,Minnesota Timberwolves,0.8111489076737017
New Orleans Pelicans,Los Angeles Lakers,0.7579342288965766
Phoenix Suns,Brooklyn Nets,0.5750783191360668
Toronto Raptors,New York Knicks,0.7833067219715015
Cleveland Cavaliers,Charlotte Hornets,0.689993535953064
Golden State Warriors,Phoenix Suns,0.9660317399998427
Minnesota Timberwolves,Los Angeles Lakers,0.7503518269695437
Oklahoma City Thunder,Orlando Magic,0.8246087829607269
Portland Trail Blazers,Denver Nuggets,0.6945284272819762
Oklahoma City Thunder,Detroit Pistons,0.6849927915049738
Houston Rockets,Philadelphia 76ers,0.9452862629777193
Indiana Pacers,Orlando Magic,0.6683061281938537
Los Angeles Clippers,Brooklyn Nets,0.8952044372591468
Boston Celtics,New Orleans Pelicans,0.7521444569824969
Dallas Mavericks,New York Knicks,0.6885401325189644
San Antonio Spurs,Miami Heat,0.6907752760747309
Memphis Grizzlies,Utah Jazz,0.5261948783800742
Cleveland Cavaliers,Toronto Raptors,0.5099344265343975
Brooklyn Nets,Los Angeles Lakers,0.627839468520645
Miami Heat,Atlanta Hawks,0.5074221419133307
Charlotte Hornets,Minnesota Timberwolves,0.7400130696903889
Chicago Bulls,Portland Trail Blazers,0.5404431570398514
Atlanta Hawks,Milwaukee Bucks,0.7695063554892192
Boston Celtics,Dallas Mavericks,0.6425784947671827
Denver Nuggets,Phoenix Suns,0.7469777297050335
Cleveland Cavaliers,Indiana Pacers,0.6955401926754505
Los Angeles Clippers,Memphis Grizzlies,0.6452460240945546
Detroit Pistons,New York Knicks,0.6848189289818107
Oklahoma City Thunder,Houston Rockets,0.78593939047277
Orlando Magic,New Orleans Pelicans,0.6151933637018406
Washington Wizards,Philadelphia 76ers,0.8949945353410148
San Antonio Spurs,Sacramento Kings,0.897734772770661
Golden State Warriors,Toronto Raptors,0.7454650308708614
Portland Trail Blazers,Houston Rockets,0.6131284606930583
Miami Heat,Milwaukee Bucks,0.7036973682100792
Minnesota Timberwolves,Philadelphia 76ers,0.8840974502558455
Chicago Bulls,Utah Jazz,0.5747832320566343
Washington Wizards,New York Knicks,0.6479366745744226
Golden State Warriors,Boston Celtics,0.7681989742497375
Charlotte Hornets,Atlanta Hawks,0.5608876197869272
Cleveland Cavaliers,Detroit Pistons,0.7518963939202694
Memphis Grizzlies,Dallas Mavericks,0.5524308275046118
Toronto Raptors,Denver Nuggets,0.8084551630627423
Indiana Pacers,Phoenix Suns,0.8505352467904659
San Antonio Spurs,Los Angeles Lakers,0.976808147064827
Portland Trail Blazers,New Orleans Pelicans,0.7750657389436582
Oklahoma City Thunder,Brooklyn Nets,0.9309332036604334
Los Angeles Clippers,Sacramento Kings,0.758303024267796
Boston Celtics,Detroit Pistons,0.5379007952270773
Houston Rockets,Utah Jazz,0.5298762062166191
Los Angeles Clippers,Chicago Bulls,0.5990933414604516
Memphis Grizzlies,Minnesota Timberwolves,0.6085979089579832
Golden State Warriors,Milwaukee Bucks,0.925516278758851
Charlotte Hornets,New Orleans Pelicans,0.7320677520004809
Dallas Mavericks,Orlando Magic,0.5898862504050799
Phoenix Suns,Philadelphia 76ers,0.6800871638076256
Miami Heat,Washington Wizards,0.6418837128013146
Portland Trail Blazers,Brooklyn Nets,0.8801011340802072
Utah Jazz,Denver Nuggets,0.5821313030302321
Chicago Bulls,Los Angeles Lakers,0.9060482416227743
Atlanta Hawks,New York Knicks,0.7375922587597128
Oklahoma City Thunder,Indiana Pacers,0.7250104659342335
Toronto Raptors,Sacramento Kings,0.8164214577257066
Charlotte Hornets,Memphis Grizzlies,0.6044209108526724
Detroit Pistons,Houston Rockets,0.6058074966159475
Golden State Warriors,Indiana Pacers,0.8200646141337639
Toronto Raptors,Los Angeles Clippers,0.5968777531082614
Orlando Magic,Milwaukee Bucks,0.5750418034701321
Boston Celtics,Minnesota Timberwolves,0.759689849701356
Miami Heat,Philadelphia 76ers,0.9449912194651094
San Antonio Spurs,Dallas Mavericks,0.8057157565471325
Washington Wizards,Phoenix Suns,0.8184618587820665
Atlanta Hawks,New Orleans Pelicans,0.8089387204029195
Chicago Bulls,Denver Nuggets,0.6560728678279845
Oklahoma City Thunder,Los Angeles Lakers,0.9539106387324071
Portland Trail Blazers,New York Knicks,0.7886273041048601
Boston Celtics,Brooklyn Nets,0.8660331577380072
San Antonio Spurs,Charlotte Hornets,0.7767413387498597
Cleveland Cavaliers,Portland Trail Blazers,0.6383219529140949
Los Angeles Clippers,Dallas Mavericks,0.7010466576914709
Miami Heat,Detroit Pistons,0.5924846962346935
Golden State Warriors,Los Angeles Lakers,0.976616905911407
Toronto Raptors,Houston Rockets,0.7288562064209139
Indiana Pacers,Atlanta Hawks,0.5069417565937009
New Orleans Pelicans,Minnesota Timberwolves,0.5215922869593818
Orlando Magic,Phoenix Suns,0.7516352571790215
Memphis Grizzlies,Philadelphia 76ers,0.9077154280014523
Oklahoma City Thunder,Sacramento Kings,0.8118083759943303
Utah Jazz,Denver Nuggets,0.6642093072145078
San Antonio Spurs,Boston Celtics,0.7586251885398159
Cleveland Cavaliers,Dallas Mavericks,0.7486558279964419
Oklahoma City Thunder,Denver Nuggets,0.8036900332420274
Los Angeles Clippers,Detroit Pistons,0.6126363203738837
Indiana Pacers,Brooklyn Nets,0.8524260727922178
Golden State Warriors,Los Angeles Lakers,0.9779792177412382
Miami Heat,Memphis Grizzlies,0.7265989308473823
Toronto Raptors,Milwaukee Bucks,0.8565273375445613
Charlotte Hornets,New York Knicks,0.7473767572074805
Washington Wizards,Orlando Magic,0.5698600162966068
Chicago Bulls,Philadelphia 76ers,0.9229110076497489
Minnesota Timberwolves,Phoenix Suns,0.5945973818247154
Portland Trail Blazers,New Orleans Pelicans,0.716692903034349
Houston Rockets,Sacramento Kings,0.5634726864224939
Atlanta Hawks,Utah Jazz,0.5705340591265513
Charlotte Hornets,New York Knicks,0.7426566271831018
Golden State Warriors,Minnesota Timberwolves,0.935662786704979
Miami Heat,Memphis Grizzlies,0.552022461772228
Oklahoma City Thunder,Detroit Pistons,0.7563201438729865
San Antonio Spurs,Washington Wizards,0.8450923785391102
Sacramento Kings,Brooklyn Nets,0.7175551200220752
Dallas Mavericks,New Orleans Pelicans,0.664458619583096
Los Angeles Clippers,Indiana Pacers,0.6070350468489573
Atlanta Hawks,Los Angeles Lakers,0.9045597218544235
Orlando Magic,Milwaukee Bucks,0.5576407577628963
Cleveland Cavaliers,Philadelphia 76ers,0.965079194584934
Denver Nuggets,Phoenix Suns,0.6123609646725074
Portland Trail Blazers,Houston Rockets,0.5697257050460526
Golden State Warriors,Atlanta Hawks,0.8370899998461709
Charlotte Hornets,Memphis Grizzlies,0.6570418796055271
Boston Celtics,Miami Heat,0.5315657685051967
Utah Jazz,Minnesota Timberwolves,0.667723806569914
Oklahoma City Thunder,New York Knicks,0.8599086953620876
Toronto Raptors,Philadelphia 76ers,0.9705925746479185
Washington Wizards,Sacramento Kings,0.6394014307897241
Los Angeles Clippers,Brooklyn Nets,0.8977842319502469
Charlotte Hornets,Detroit Pistons,0.6229878608807904
Cleveland Cavaliers,Milwaukee Bucks,0.8616587112872066
New Orleans Pelicans,Los Angeles Lakers,0.7579342288965766
San Antonio Spurs,Orlando Magic,0.8647113746720438
Utah Jazz,Houston Rockets,0.5353073996668894
Boston Celtics,Detroit Pistons,0.6465410086355438
Chicago Bulls,Los Angeles Lakers,0.8524644728646867
San Antonio Spurs,Dallas Mavericks,0.8677481651385637
Miami Heat,Denver Nuggets,0.7324233360187092
New York Knicks,Minnesota Timberwolves,0.5448294382987166
Oklahoma City Thunder,Washington Wizards,0.7680848482096726
Atlanta Hawks,Phoenix Suns,0.8058688511503224
Indiana Pacers,Portland Trail Blazers,0.5126061539870489
Toronto Raptors,Memphis Grizzlies,0.6568164177781087
Milwaukee Bucks,Brooklyn Nets,0.7057710318103048
Charlotte Hornets,Dallas Mavericks,0.6189169342611212
Cleveland Cavaliers,Los Angeles Clippers,0.5959535189965529
Golden State Warriors,Houston Rockets,0.8871774878981352
Memphis Grizzlies,Orlando Magic,0.5184426853080517
Miami Heat,Utah Jazz,0.6598227434885707
Atlanta Hawks,Detroit Pistons,0.6519754930421634
Boston Celtics,Sacramento Kings,0.7547719866558699
Cleveland Cavaliers,Chicago Bulls,0.7676704119567208
Houston Rockets,Denver Nuggets,0.5505722543907983
Los Angeles Clippers,New Orleans Pelicans,0.804804104442296
New York Knicks,Minnesota Timberwolves,0.5017228992213718
Orlando Magic,Philadelphia 76ers,0.8572266297567201
San Antonio Spurs,Washington Wizards,0.8182630989035287
Toronto Raptors,Los Angeles Lakers,0.9285967783538805
Charlotte Hornets,Minnesota Timberwolves,0.7833248795445227
Chicago Bulls,Dallas Mavericks,0.6003720344176571
Golden State Warriors,Phoenix Suns,0.9660317399998427
Memphis Grizzlies,Los Angeles Lakers,0.817034939031012
Milwaukee Bucks,Brooklyn Nets,0.6793467656141544
Boston Celtics,Philadelphia 76ers,0.9322218411835766
Miami Heat,Portland Trail Blazers,0.6279044495343427
Toronto Raptors,Atlanta Hawks,0.6153800001976035
Utah Jazz,Denver Nuggets,0.6642093072145078
Detroit Pistons,Orlando Magic,0.6630671202309609
Los Angeles Clippers,Indiana Pacers,0.6255985621551347
Sacramento Kings,New York Knicks,0.5635664366239017
Oklahoma City Thunder,New Orleans Pelicans,0.8752288721971963
Oklahoma City Thunder,Atlanta Hawks,0.6012774326695144
Washington Wizards,Brooklyn Nets,0.8002416374971753
Portland Trail Blazers,Chicago Bulls,0.6512331972837235
Charlotte Hornets,Dallas Mavericks,0.6084569283533339
Golden State Warriors,Indiana Pacers,0.8495481777156666
Boston Celtics,Houston Rockets,0.582592358569813
Utah Jazz,Los Angeles Lakers,0.8756643209966861
San Antonio Spurs,Milwaukee Bucks,0.9217783676562574
Memphis Grizzlies,New Orleans Pelicans,0.6845594910294743
Denver Nuggets,Philadelphia 76ers,0.8174355976190425
Cleveland Cavaliers,Toronto Raptors,0.5948216800908745
Chicago Bulls,Detroit Pistons,0.5032839660640951
Memphis Grizzlies,Philadelphia 76ers,0.918916413699784
Miami Heat,New York Knicks,0.6994642723839763
San Antonio Spurs,Minnesota Timberwolves,0.923182856017339
Utah Jazz,Phoenix Suns,0.8064343892282754
Washington Wizards,Orlando Magic,0.6148367799477938
Miami Heat,Atlanta Hawks,0.5020560772851033
Denver Nuggets,Brooklyn Nets,0.6778850323328081
Charlotte Hornets,Detroit Pistons,0.6229878608807904
Dallas Mavericks,Sacramento Kings,0.5958470310243527
Houston Rockets,Los Angeles Lakers,0.871920270403384
Golden State Warriors,Los Angeles Clippers,0.7550078298694767
Portland Trail Blazers,Milwaukee Bucks,0.7787499194848866
Cleveland Cavaliers,New York Knicks,0.8684599549358664
Boston Celtics,Orlando Magic,0.6813115342914957
Indiana Pacers,Phoenix Suns,0.790684941408584
San Antonio Spurs,Chicago Bulls,0.8620981035173013
Portland Trail Blazers,Memphis Grizzlies,0.7072655179635532
New Orleans Pelicans,Philadelphia 76ers,0.8882228097578856
Toronto Raptors,Minnesota Timberwolves,0.8191156451231888
Golden State Warriors,Utah Jazz,0.8615930207766324
Washington Wizards,Denver Nuggets,0.6815847605486218
Toronto Raptors,Boston Celtics,0.6142328215817366
Charlotte Hornets,Orlando Magic,0.7145386110918407
Cleveland Cavaliers,Miami Heat,0.6160447707222674
Indiana Pacers,Dallas Mavericks,0.5732990270808057
Phoenix Suns,Los Angeles Lakers,0.6313263749895077
Atlanta Hawks,Milwaukee Bucks,0.7261581343422603
Detroit Pistons,Minnesota Timberwolves,0.6764212355663636
Oklahoma City Thunder,Houston Rockets,0.78593939047277
Sacramento Kings,New York Knicks,0.533523117164215
Miami Heat,Chicago Bulls,0.6725539309206585
Cleveland Cavaliers,Charlotte Hornets,0.689993535953064
Houston Rockets,Dallas Mavericks,0.5157163330975494
Portland Trail Blazers,Indiana Pacers,0.5635077603222594
Los Angeles Clippers,New Orleans Pelicans,0.8163680171729388
Golden State Warriors,Memphis Grizzlies,0.8950612180694911
Orlando Magic,Denver Nuggets,0.5896348451443285
San Antonio Spurs,Brooklyn Nets,0.9482507327521158
Utah Jazz,Sacramento Kings,0.6210040591867071
Washington Wizards,Milwaukee Bucks,0.652535010228941
Detroit Pistons,Philadelphia 76ers,0.9539508510432742
New York Knicks,Los Angeles Lakers,0.8075067475928666
Golden State Warriors,Minnesota Timberwolves,0.9268589774513302
Oklahoma City Thunder,Boston Celtics,0.6723874406753094
New Orleans Pelicans,Phoenix Suns,0.5867406949019731
Dallas Mavericks,Denver Nuggets,0.6402588269329642
Houston Rockets,Brooklyn Nets,0.8247238636918282
Charlotte Hornets,Indiana Pacers,0.5058521750281743
Los Angeles Clippers,Portland Trail Blazers,0.5339160724383264
Miami Heat,Washington Wizards,0.5871253663062926
Sacramento Kings,Los Angeles Lakers,0.8044879691659386
Toronto Raptors,Milwaukee Bucks,0.7867189742225839
Atlanta Hawks,Orlando Magic,0.7394312720890254
Chicago Bulls,Minnesota Timberwolves,0.6679878193033063
Cleveland Cavaliers,Memphis Grizzlies,0.7369978087904886
Golden State Warriors,New Orleans Pelicans,0.9240376132489527
New York Knicks,Phoenix Suns,0.6475596969318302
Oklahoma City Thunder,Portland Trail Blazers,0.7162231443934512
Brooklyn Nets,Los Angeles Lakers,0.5951118664477516
Detroit Pistons,Dallas Mavericks,0.5329938765482553
Houston Rockets,Sacramento Kings,0.6457798618255918
Cleveland Cavaliers,Memphis Grizzlies,0.8104411756793055
Miami Heat,Indiana Pacers,0.530965020755208
Los Angeles Clippers,Orlando Magic,0.7438961807418362
Toronto Raptors,Philadelphia 76ers,0.963621953057493
San Antonio Spurs,Boston Celtics,0.7361587683771983
Oklahoma City Thunder,Utah Jazz,0.7436583581170976
Charlotte Hornets,Washington Wizards,0.5637152204031151
Portland Trail Blazers,Denver Nuggets,0.7133393003932123
Golden State Warriors,New York Knicks,0.9206923258004558
Chicago Bulls,Milwaukee Bucks,0.7295973123814301
Indiana Pacers,New Orleans Pelicans,0.7025838248829608
San Antonio Spurs,Phoenix Suns,0.9485794978562079
Boston Celtics,Charlotte Hornets,0.5732701973975411
Chicago Bulls,Milwaukee Bucks,0.6210462388741061
Houston Rockets,New Orleans Pelicans,0.7100397022609414
Memphis Grizzlies,Sacramento Kings,0.5446015593987494
Los Angeles Clippers,Miami Heat,0.6065764868513213
Orlando Magic,Brooklyn Nets,0.7544159746933412
Los Angeles Lakers,Philadelphia 76ers,0.591425476679249
Toronto Raptors,Atlanta Hawks,0.6153800001976035
Dallas Mavericks,Utah Jazz,0.5109587255222223
Washington Wizards,Detroit Pistons,0.5130992601760512
Atlanta Hawks,Charlotte Hornets,0.5790978407057472
Cleveland Cavaliers,Los Angeles Lakers,0.950103266794122
Denver Nuggets,New York Knicks,0.5465098414080756
Detroit Pistons,Indiana Pacers,0.5246189424843193
Golden State Warriors,Portland Trail Blazers,0.794710116768429
Houston Rockets,Minnesota Timberwolves,0.6386160459165195
Oklahoma City Thunder,Phoenix Suns,0.9299656260212337
Dallas Mavericks,Sacramento Kings,0.5958470310243527
Utah Jazz,Memphis Grizzlies,0.5749340551193199
Boston Celtics,Miami Heat,0.5315657685051967
Toronto Raptors,Orlando Magic,0.8045861443848265
Brooklyn Nets,Philadelphia 76ers,0.676825359484598
San Antonio Spurs,New Orleans Pelicans,0.9050895085471988
Los Angeles Clippers,Washington Wizards,0.6609902741655683
Detroit Pistons,Chicago Bulls,0.5209378749261474
Dallas Mavericks,Denver Nuggets,0.5958710017970605
Indiana Pacers,Washington Wizards,0.5866593930350783
Minnesota Timberwolves,Phoenix Suns,0.6717649502122165
Oklahoma City Thunder,Atlanta Hawks,0.7058109844831361
Charlotte Hornets,Los Angeles Lakers,0.9121451152964876
Golden State Warriors,Utah Jazz,0.8736565675721374
San Antonio Spurs,Houston Rockets,0.841421639801061
Los Angeles Clippers,Denver Nuggets,0.7998235608432627
Boston Celtics,Memphis Grizzlies,0.6802852074495962
Miami Heat,Orlando Magic,0.6687320321389061
Cleveland Cavaliers,Milwaukee Bucks,0.8616587112872066
Indiana Pacers,New York Knicks,0.7189306716535978
New Orleans Pelicans,Philadelphia 76ers,0.800963875297231
Portland Trail Blazers,Sacramento Kings,0.7239105065381755
Toronto Raptors,Brooklyn Nets,0.8998872615557516
Atlanta Hawks,Minnesota Timberwolves,0.8038657434273118
Washington Wizards,Chicago Bulls,0.5047201942716786
Cleveland Cavaliers,Milwaukee Bucks,0.8437691166094611
Detroit Pistons,Memphis Grizzlies,0.545717530335498
Oklahoma City Thunder,New Orleans Pelicans,0.8500509291322462
Houston Rockets,Phoenix Suns,0.7306438362868399
Portland Trail Blazers,Dallas Mavericks,0.5238382020467481
Utah Jazz,Sacramento Kings,0.6210040591867071
Golden State Warriors,Brooklyn Nets,0.9628438887581987
Boston Celtics,Indiana Pacers,0.5320443088023674
San Antonio Spurs,Los Angeles Clippers,0.7450700267660453
Miami Heat,Los Angeles Lakers,0.8933130501155775
Orlando Magic,New York Knicks,0.589216301321515
Oklahoma City Thunder,Boston Celtics,0.6069848112691147
Charlotte Hornets,Chicago Bulls,0.5566067051901844
Cleveland Cavaliers,Brooklyn Nets,0.9293833982897767
Atlanta Hawks,Denver Nuggets,0.6521444048982379
Golden State Warriors,Detroit Pistons,0.8235122139228925
Los Angeles Clippers,Dallas Mavericks,0.6590898160000513
Houston Rockets,Memphis Grizzlies,0.5432579245695032
Washington Wizards,Milwaukee Bucks,0.6576441703397462
Sacramento Kings,Minnesota Timberwolves,0.5540419096835842
Miami Heat,New Orleans Pelicans,0.7912430146994328
Orlando Magic,Los Angeles Lakers,0.8163278711596241
Phoenix Suns,Philadelphia 76ers,0.8324774817758492
San Antonio Spurs,Portland Trail Blazers,0.8370315209496835
Toronto Raptors,Utah Jazz,0.749426349044494
Golden State Warriors,Cleveland Cavaliers,0.666697618350444
Los Angeles Clippers,Los Angeles Lakers,0.9377066537367568
Boston Celtics,New York Knicks,0.7666719476122082
Oklahoma City Thunder,Minnesota Timberwolves,0.8716367070115787
San Antonio Spurs,Chicago Bulls,0.7622140974036111
Charlotte Hornets,Brooklyn Nets,0.8533833475247693
Indiana Pacers,Chicago Bulls,0.5614273523501516
Cleveland Cavaliers,Detroit Pistons,0.7005023414443116
Houston Rockets,Phoenix Suns,0.8225519840181208
Los Angeles Clippers,Denver Nuggets,0.7998235608432627
Atlanta Hawks,Minnesota Timberwolves,0.7300463812620368
Dallas Mavericks,New Orleans Pelicans,0.6712340619615091
Memphis Grizzlies,Orlando Magic,0.6045664362100793
Toronto Raptors,Portland Trail Blazers,0.7223780009010679
Sacramento Kings,Philadelphia 76ers,0.9126087473511448
Washington Wizards,Milwaukee Bucks,0.652535010228941
Boston Celtics,Memphis Grizzlies,0.6284421943460738
Dallas Mavericks,Houston Rockets,0.5089599049968022
Utah Jazz,Los Angeles Lakers,0.8756643209966861
Oklahoma City Thunder,Miami Heat,0.6794726690889816
Atlanta Hawks,New York Knicks,0.7659006649022364
Chicago Bulls,Brooklyn Nets,0.7997453349465637
Denver Nuggets,Minnesota Timberwolves,0.6015444931573143
Detroit Pistons,Milwaukee Bucks,0.6983606838777073
Golden State Warriors,Toronto Raptors,0.695340938862078
Los Angeles Clippers,New Orleans Pelicans,0.804804104442296
Charlotte Hornets,Orlando Magic,0.6581053213595132
Portland Trail Blazers,Sacramento Kings,0.6531873333521007
San Antonio Spurs,Phoenix Suns,0.9475120829650944
Indiana Pacers,Washington Wizards,0.5276585798455532
Miami Heat,Charlotte Hornets,0.5333774833918447
Cleveland Cavaliers,Boston Celtics,0.667110632045731
Dallas Mavericks,Los Angeles Lakers,0.8817136675473336
Oklahoma City Thunder,Memphis Grizzlies,0.7989911687798259
Toronto Raptors,Phoenix Suns,0.9033410864519101
Utah Jazz,Philadelphia 76ers,0.939496621815946
Atlanta Hawks,Detroit Pistons,0.6519754930421634
Miami Heat,Boston Celtics,0.508021629914629
Denver Nuggets,Philadelphia 76ers,0.9166897025108547
Golden State Warriors,Dallas Mavericks,0.8672572033225476
Los Angeles Clippers,Houston Rockets,0.6547393017688711
Indiana Pacers,Chicago Bulls,0.5026013112694755
